Session ID,Session Name,Duration,Status,Teacher Name,Created At,Students Joined,Total Doubts,Open Doubts,Completed Doubts,Skipped Doubts
4,physics,60,ACTIVE,Sagar kerhalkar,2026-06-09 11:13:30,3,7,2,3,2
3,physics,60,ACTIVE,Physics,2026-06-09 09:24:07,1,1,1,0,0
2,test12,60,ACTIVE,Physics,2026-06-09 09:06:52,2,5,2,1,2
1,test12,60,ACTIVE,Physics,2026-06-09 09:06:07,0,0,0,0,0
